disease,year,country,country,cases,deaths
Cholera,2001,NGA,NGA,2312.0,0.0
Cholera,2005,NGA,NGA,4477.0,0.0
Cholera,2015,NGA,NGA,5290.0,0.0
Cholera,2010,NGA,NGA,44456.0,0.0
Cholera,1986,NGA,NGA,91.0,0.0
Cholera,2013,NGA,NGA,6600.0,0.0
Cholera,1991,NGA,NGA,59478.0,0.0
Cholera,2007,NGA,NGA,1661.0,0.0
Cholera,1992,NGA,NGA,8687.0,0.0
Cholera,2016,NGA,NGA,768.0,0.0
Cholera,1982,NGA,NGA,248.0,0.0
Cholera,1973,NGA,NGA,157.0,0.0
Cholera,1983,NGA,NGA,178.0,0.0
Cholera,1989,NGA,NGA,1078.0,0.0
Cholera,1975,NGA,NGA,38.0,0.0
Cholera,2002,NGA,NGA,5429.0,0.0
Cholera,1981,NGA,NGA,107.0,0.0
Cholera,2009,NGA,NGA,13691.0,0.0
Cholera,1972,NGA,NGA,1363.0,0.0
Cholera,2012,NGA,NGA,597.0,0.0
Cholera,1994,NGA,NGA,2859.0,0.0
Cholera,1984,NGA,NGA,1667.0,0.0
Cholera,1988,NGA,NGA,137.0,0.0
Cholera,1971,NGA,NGA,22931.0,0.0
Cholera,2008,NGA,NGA,5410.0,0.0
Cholera,1999,NGA,NGA,26358.0,0.0
Cholera,2006,NGA,NGA,2028.0,0.0
Cholera,1997,NGA,NGA,1322.0,0.0
Cholera,2004,NGA,NGA,3186.0,0.0
Cholera,2003,NGA,NGA,1933.0,0.0
Cholera,1980,NGA,NGA,138.0,0.0
Cholera,1977,NGA,NGA,376.0,0.0
Cholera,2011,NGA,NGA,23377.0,0.0
Cholera,1993,NGA,NGA,4160.0,0.0
Cholera,1985,NGA,NGA,30.0,0.0
Cholera,2014,NGA,NGA,35996.0,0.0
Cholera,1998,NGA,NGA,3464.0,0.0
Cholera,1976,NGA,NGA,112.0,0.0
Cholera,1987,NGA,NGA,1290.0,0.0
Cholera,1970,NGA,NGA,15.0,0.0
Cholera,1995,NGA,NGA,1059.0,0.0
Cholera,1978,NGA,NGA,197.0,0.0
Cholera,1979,NGA,NGA,293.0,0.0
Cholera,2000,NGA,NGA,2799.0,0.0
Cholera,1996,NGA,NGA,12374.0,0.0
Measles,1985,NGA,NGA,0.0,0.0
Measles,2005,NGA,NGA,0.0,0.0
Measles,2016,NGA,NGA,0.0,0.0
Measles,1988,NGA,NGA,0.0,0.0
Measles,2010,NGA,NGA,8491.0,0.0
Measles,2015,NGA,NGA,0.0,0.0
Measles,1977,NGA,NGA,0.0,0.0
Measles,1998,NGA,NGA,0.0,0.0
Measles,2018,NGA,NGA,7063.0,0.0
Measles,2020,NGA,NGA,8877.0,0.0
Measles,2022,NGA,NGA,0.0,0.0
Measles,2000,NGA,NGA,0.0,0.0
Measles,2012,NGA,NGA,6447.0,0.0
Measles,2024,NGA,NGA,0.0,0.0
Measles,2009,NGA,NGA,1272.0,0.0
Measles,2004,NGA,NGA,0.0,0.0
Measles,1996,NGA,NGA,0.0,0.0
Measles,2013,NGA,NGA,0.0,0.0
Measles,1993,NGA,NGA,0.0,0.0
Measles,1981,NGA,NGA,0.0,0.0
Measles,1987,NGA,NGA,0.0,0.0
Measles,2006,NGA,NGA,704.0,0.0
Measles,2011,NGA,NGA,0.0,0.0
Measles,1974,NGA,NGA,0.0,0.0
Measles,1994,NGA,NGA,0.0,0.0
Measles,2007,NGA,NGA,2613.0,0.0
Measles,2021,NGA,NGA,0.0,0.0
Measles,1975,NGA,NGA,0.0,0.0
Measles,1991,NGA,NGA,0.0,0.0
Measles,2023,NGA,NGA,0.0,0.0
Measles,1979,NGA,NGA,0.0,0.0
Measles,2002,NGA,NGA,0.0,0.0
Measles,1976,NGA,NGA,0.0,0.0
Measles,1978,NGA,NGA,0.0,0.0
Measles,1997,NGA,NGA,0.0,0.0
Measles,1980,NGA,NGA,0.0,0.0
Measles,1999,NGA,NGA,0.0,0.0
Measles,1983,NGA,NGA,0.0,0.0
Measles,2019,NGA,NGA,0.0,0.0
Measles,1986,NGA,NGA,0.0,0.0
Measles,1990,NGA,NGA,0.0,0.0
Measles,2014,NGA,NGA,6855.0,0.0
Measles,1992,NGA,NGA,0.0,0.0
Measles,1995,NGA,NGA,0.0,0.0
Measles,2003,NGA,NGA,0.0,0.0
Measles,1982,NGA,NGA,0.0,0.0
Measles,2017,NGA,NGA,0.0,0.0
Measles,2001,NGA,NGA,0.0,0.0
Measles,2008,NGA,NGA,9960.0,0.0
Measles,1989,NGA,NGA,0.0,0.0
Measles,1984,NGA,NGA,0.0,0.0
Malaria,2016,NGA,NGA,0.0,0.0
Malaria,2023,NGA,NGA,0.0,0.0
Malaria,2020,NGA,NGA,0.0,0.0
Malaria,2019,NGA,NGA,0.0,0.0
Malaria,2018,NGA,NGA,0.0,0.0
Malaria,2022,NGA,NGA,0.0,0.0
Malaria,2021,NGA,NGA,0.0,0.0
Malaria,2017,NGA,NGA,0.0,0.0
Malaria,2015,NGA,NGA,0.0,0.0
Yellow Fever,2018,NGA,NGA,47.0,0.0
Yellow Fever,1988,NGA,NGA,5067.0,0.0
Yellow Fever,2014,NGA,NGA,0.0,0.0
Yellow Fever,1974,NGA,NGA,7.0,0.0
Yellow Fever,1994,NGA,NGA,1227.0,0.0
Yellow Fever,2019,NGA,NGA,154.0,0.0
Yellow Fever,2010,NGA,NGA,0.0,0.0
Yellow Fever,2024,NGA,NGA,22.0,0.0
Yellow Fever,1987,NGA,NGA,2676.0,0.0
Yellow Fever,1993,NGA,NGA,152.0,0.0
Yellow Fever,2001,NGA,NGA,5.0,0.0
Yellow Fever,2009,NGA,NGA,0.0,0.0
Yellow Fever,2007,NGA,NGA,0.0,0.0
Yellow Fever,1984,NGA,NGA,898.0,0.0
Yellow Fever,2011,NGA,NGA,387.0,0.0
Yellow Fever,1998,NGA,NGA,0.0,0.0
Yellow Fever,2021,NGA,NGA,54.0,0.0
Yellow Fever,1989,NGA,NGA,3270.0,0.0
Yellow Fever,1983,NGA,NGA,15.0,0.0
Yellow Fever,1991,NGA,NGA,2561.0,0.0
Yellow Fever,2017,NGA,NGA,26.0,0.0
Yellow Fever,2008,NGA,NGA,0.0,0.0
Yellow Fever,1980,NGA,NGA,8.0,0.0
Yellow Fever,2020,NGA,NGA,216.0,0.0
Yellow Fever,1978,NGA,NGA,60.0,0.0
Yellow Fever,1996,NGA,NGA,0.0,0.0
Yellow Fever,1997,NGA,NGA,7.0,0.0
Yellow Fever,2022,NGA,NGA,14.0,0.0
Yellow Fever,2012,NGA,NGA,0.0,0.0
Yellow Fever,1990,NGA,NGA,4075.0,0.0
Yellow Fever,2013,NGA,NGA,0.0,0.0
Yellow Fever,2002,NGA,NGA,0.0,0.0
Yellow Fever,2023,NGA,NGA,43.0,0.0
Yellow Fever,2016,NGA,NGA,0.0,0.0
Yellow Fever,1985,NGA,NGA,6.0,0.0
Yellow Fever,2000,NGA,NGA,0.0,0.0
Yellow Fever,2015,NGA,NGA,0.0,0.0
Yellow Fever,1986,NGA,NGA,1318.0,0.0
Yellow Fever,1992,NGA,NGA,149.0,0.0
Meningitis,2013,NGA,NGA,871.0,0.0
Meningitis,2009,NGA,NGA,56128.0,0.0
Meningitis,2012,NGA,NGA,1206.0,0.0
Meningitis,2011,NGA,NGA,1165.0,0.0
Meningitis,2014,NGA,NGA,1175.0,0.0
Meningitis,2010,NGA,NGA,4983.0,0.0
